,column_name,data_type
0,season_id,BIGINT
1,team_id,BIGINT
2,team_abbreviation,VARCHAR
3,team_name,VARCHAR
4,game_id,BIGINT
5,game_date,VARCHAR
6,team_city,VARCHAR
7,player_id,BIGINT
8,player_name,VARCHAR
9,nickname,VARCHAR
10,start_position,VARCHAR
11,comment,VARCHAR
12,matchup,VARCHAR
13,wl,VARCHAR
14,plus_minus,DOUBLE
15,min,VARCHAR
16,pts,DOUBLE
17,fgm,DOUBLE
18,fga,DOUBLE
19,fg_pct,DOUBLE
20,fg3m,DOUBLE
21,fg3a,DOUBLE
22,fg3_pct,DOUBLE
23,ftm,DOUBLE
24,fta,DOUBLE
25,ft_pct,DOUBLE
26,oreb,DOUBLE
27,dreb,DOUBLE
28,reb,DOUBLE
29,ast,DOUBLE
30,stl,DOUBLE
31,blk,DOUBLE
32,pf,DOUBLE
33,to,DOUBLE
34,e_off_rating,DOUBLE
35,off_rating,DOUBLE
36,e_def_rating,DOUBLE
37,def_rating,DOUBLE
38,e_net_rating,DOUBLE
39,net_rating,DOUBLE
40,ast_pct,DOUBLE
41,ast_tov,DOUBLE
42,ast_ratio,DOUBLE
43,oreb_pct,DOUBLE
44,dreb_pct,DOUBLE
45,reb_pct,DOUBLE
46,tm_tov_pct,DOUBLE
47,efg_pct,DOUBLE
48,ts_pct,DOUBLE
49,usg_pct,DOUBLE
50,e_usg_pct,DOUBLE
51,e_pace,DOUBLE
52,pace,DOUBLE
53,pace_per40,DOUBLE
54,poss,BIGINT
55,pie,DOUBLE
56,fta_rate,DOUBLE
57,opp_efg_pct,DOUBLE
58,opp_fta_rate,DOUBLE
59,opp_tov_pct,DOUBLE
60,opp_oreb_pct,DOUBLE
61,pts_off_tov,DOUBLE
62,pts_2nd_chance,DOUBLE
63,pts_fb,DOUBLE
64,pts_paint,DOUBLE
65,opp_pts_off_tov,DOUBLE
66,opp_pts_2nd_chance,DOUBLE
67,opp_pts_fb,DOUBLE
68,opp_pts_paint,DOUBLE
69,blka,DOUBLE
70,pfd,DOUBLE
71,pct_fga_2pt,DOUBLE
72,pct_fga_3pt,DOUBLE
73,pct_pts_2pt,DOUBLE
74,pct_pts_2pt_mr,DOUBLE
75,pct_pts_3pt,DOUBLE
76,pct_pts_fb,DOUBLE
77,pct_pts_ft,DOUBLE
78,pct_pts_off_tov,DOUBLE
79,pct_pts_paint,DOUBLE
80,pct_ast_2pm,DOUBLE
81,pct_uast_2pm,DOUBLE
82,pct_ast_3pm,DOUBLE
83,pct_uast_3pm,DOUBLE
84,pct_ast_fgm,DOUBLE
85,pct_uast_fgm,DOUBLE
